likelihood0_means,likelihood0_stds,likelihood1_means,likelihood1_stds,log_ratio_means,log_ratio_stds,powers
-927.5341984944198,19.393432873663425,-250.59604324628967,12.117852464071282,7.209645903474705,0.04653854478794819,1.0
-942.2485295267129,20.342356374295587,-242.55669249093427,13.452780443850383,7.242621095441774,0.04832932433212269,1.0
-955.346245157833,18.5277303242838,-233.87676339551425,12.60116938697614,7.273501484288451,0.04333994414809721,1.0
-962.2066132195998,18.760755857834734,-229.1252899916549,13.36092981278465,7.28944074049478,0.04394168259846824,1.0
-971.8164397582473,16.881358007649833,-220.9833594395691,12.768827832226064,7.313560370884041,0.03915839255930854,1.0
-983.799175405195,21.00988473291865,-213.33130592479898,16.369785879258366,7.338957432458574,0.04887218469507823,1.0
-1000.3082731820094,19.468834112083638,-199.32650959546626,16.30949049270693,7.3779855375125365,0.04476716538008136,1.0
-1004.9409348374277,16.91755424798929,-194.67759910017818,14.43302667896488,7.389758886069302,0.03869525088122857,1.0
-1013.4549376200059,16.326908389907437,-184.1769752140711,13.859629699437988,7.413045596120294,0.03630437944354532,1.0
-1028.6973039970987,16.44193238375857,-172.20672799561063,15.540855407274258,7.445291281814417,0.037473626308798504,1.0
